District,HASC
Kolar,IN.KA.KO
Kolasib,IN.MZ.KO
Kolhapur,IN.MH.KO
Kolkata,IN.WB.KO
Kollam,IN.KL.KL
Kondagaon,IN.CT.KG
Koppal,IN.KA.KP
Koraput,IN.OR.KO
Korba,IN.CT.KB
Koriya,IN.CT.KJ
Kota,IN.RJ.KO
Kottayam,IN.KL.KT
Kozhikode,IN.KL.KZ
Kra Daadi,IN.AR.KD
Krishna,IN.AD.KR
Krishnagiri,IN.TN.KG
Kulgam,IN.JK.KG
Kulu,IN.HP.KU
Kupwara,IN.JK.KU
Kurnool,IN.AD.KU
Kurukshetra,IN.HR.KU
Kurung Kumey,IN.AR.KK
Kushinagar,IN.UP.KU
Lahaul and Spiti,IN.HP.LS
Lakhimpur,IN.AS.LA
Lakhimpur Kheri,IN.UP.LK
Lakhisarai,IN.BR.LA
Lakshadweep,IN.LD.LD
Lalitpur,IN.UP.LA
Latehar,IN.JH.LA
Latur,IN.MH.LA
Lawngtlai,IN.MZ.LA
Leh,IN.JK.LE
Lohardaga,IN.JH.LO
Lohit,IN.AR.LT
Longding,IN.AR.LD
Longleng,IN.NL.LL
Lower Dibang Valley,IN.AR.DL
Lower Subansiri,IN.AR.LS
Lucknow,IN.UP.LU
Ludhiana,IN.PB.LU
Lunglei,IN.MZ.LU
Madhepura,IN.BR.MP
Madhubani,IN.BR.MB
Madurai,IN.TN.MA
Maharajganj,IN.UP.MG
Mahasamund,IN.CT.MA
Mahbubnagar,IN.TG.MA
Mahe,IN.PY.MA
Mahendragarh,IN.HR.MA
Mahesana,IN.GJ.MA
Mahisagar,IN.GJ.MS
Mahoba,IN.UP.MH
Mainpuri,IN.UP.MP
Malappuram,IN.KL.MA
Malda,IN.WB.MA
Malkangiri,IN.OR.ML
Mamit,IN.MZ.MA
Mandi,IN.HP.MA
Mandla,IN.MP.ML
Mandsaur,IN.MP.MS
Mandya,IN.KA.MA
Mansa,IN.PB.MA
Marigaon,IN.AS.MA
Mathura,IN.UP.MT
Maunathbhanjan,IN.UP.MB
Mayurbhanj,IN.OR.MY
Medak,IN.TG.ME
Meerut,IN.UP.ME
Mewat,IN.HR.MW
Mirzapur,IN.UP.MI
Moga,IN.PB.MO
Mohali,IN.PB.AJ
Mokokchung,IN.NL.MK
Mon,IN.NL.MN
Moradabad,IN.UP.MD
Morbi,IN.GJ.MB
Morena,IN.MP.MO
Muktsar,IN.PB.MU
Mumbai City,IN.MH.MC
Mumbai Suburban,IN.MH.MU
Mungeli,IN.CT.MU
Munger,IN.BR.MG
Murshidabad,IN.WB.MU
Muzaffarnagar,IN.UP.MZ
Muzaffarpur,IN.BR.MZ
Mysore,IN.KA.MY
Nabarangpur,IN.OR.NB
Nadia,IN.WB.NA
Nagaon,IN.AS.NN
Nagapattinam,IN.TN.NG
Nagaur,IN.RJ.NA
Nagpur,IN.MH.NG
Nainital,IN.UT.NA
Nalanda,IN.BR.NL
Nalbari,IN.AS.NB
Nalgonda,IN.TG.NA
Namakkal,IN.TN.NM
Namsai,IN.AR.NS
Nanded,IN.MH.ND
Nandurbar,IN.MH.NB
Narayanpur,IN.CT.NA
Narmada,IN.GJ.NR
Narsinghpur,IN.MP.NA
Nashik,IN.MH.NS
Navsari,IN.GJ.NV
Nawada,IN.BR.NW
Nawan Shehar,IN.PB.NS
Nayagarh,IN.OR.NY
Neemuch,IN.MP.NE
Nellore,IN.AD.NE
New Delhi,IN.DL.ND
Nicobar Islands,IN.AN.NI
Nilgiris,IN.TN.NI
Nizamabad,IN.TG.NI
North,IN.DL.NO
North and Middle Andaman,IN.AN.NM
North East,IN.DL.NS
North Garo Hills,IN.ML.GN
North Goa,IN.GA.NG
North Sikkim,IN.SK.NS
North Tripura,IN.TR.NO
North West,IN.DL.NW
Nuapada,IN.OR.NU
Osmanabad,IN.MH.OS
Pakur,IN.JH.PK
Palakkad,IN.KL.PL
Palamu,IN.JH.PM
Palghar,IN.MH.PL
Pali,IN.RJ.PA
Palwal,IN.HR.PW
Panchkula,IN.HR.PK
Panch Mahals,IN.GJ.PC
Panipat,IN.HR.PP
Panna,IN.MP.PA
Papum Pare,IN.AR.PA
Parbhani,IN.MH.PA
Paschim Medinipur,IN.WB.WM
Pashchim Singhbhum,IN.JH.WS
Patan,IN.GJ.PA
Pathanamthitta,IN.KL.PT
Pathankot,IN.PB.PK
Patiala,IN.PB.PT
Patna,IN.BR.PA
Pauri Garhwal,IN.UT.PG
Perambalur,IN.TN.PE
Peren,IN.NL.PE
Phek,IN.NL.PH
Pilibhit,IN.UP.PI
Pithoragarh,IN.UT.PI
Pondicherry,IN.PY.PO
Poonch,IN.JK.PO
Porbandar,IN.GJ.PO
Prakasam,IN.AD.PR
Pratapgarh,IN.RJ.PR
Pratapgarh,IN.UP.PR
Pudukkottai,IN.TN.PU
Pulwama,IN.JK.PW
Pune,IN.MH.PU
Purba Medinipur,IN.WB.EM
Purba Singhbhum,IN.JH.ES
Puri,IN.OR.PU
Purnia,IN.BR.PU
Purulia,IN.WB.PU
Rae Bareli,IN.UP.RL
Raichur,IN.KA.RA
Raigarh,IN.CT.RG
Raigarh,IN.MH.RG
Raipur,IN.CT.RA
Raisen,IN.MP.RS
Rajauri,IN.JK.RA
Rajgarh,IN.MP.RG
Rajkot,IN.GJ.RK
Rajnandgaon,IN.CT.RN
Rajsamand,IN.RJ.RA
Ramanagara,IN.KA.RM
Ramanathapuram,IN.TN.RA
Ramban,IN.JK.RB
Ramgarh,IN.JH.RM
Rampur,IN.UP.RA
Ranchi,IN.JH.RN
Rangareddi,IN.TG.RA
Ratlam,IN.MP.RL
Ratnagiri,IN.MH.RT
Rayagada,IN.OR.RA
Reasi,IN.JK.RE
Rewa,IN.MP.RE
Rewari,IN.HR.RE
Ri-Bhoi,IN.ML.RB
Rohtak,IN.HR.RO
Rohtas,IN.BR.RO
Rudra Prayag,IN.UT.RP
Rupnagar,IN.PB.RP
Sabar Kantha,IN.GJ.SB
Sagar,IN.MP.SG
Saharanpur,IN.UP.SA
Saharsa,IN.BR.SH
Sahibganj,IN.JH.SA
Saiha,IN.MZ.SA
Salem,IN.TN.SA
Samastipur,IN.BR.SM
Samba,IN.JK.SM
Sambalpur,IN.OR.SA
Sambhal,IN.UP.BM
Sangli,IN.MH.SN
Sangrur,IN.PB.SR
Sant Kabir Nagar,IN.UP.SK
Sant Ravi Das Nagar,IN.UP.SR
Saran,IN.BR.SR
Satara,IN.MH.ST
Satna,IN.MP.ST
Sawai Madhopur,IN.RJ.SM
Sehore,IN.MP.SR
Senapati,IN.MN.SE
Seoni,IN.MP.SO
Seraikela,IN.JH.SK
Serchhip,IN.MZ.SE
Shahdara,IN.DL.SH
Shahdol,IN.MP.SL
Shahjahanpur,IN.UP.SJ
Shajapur,IN.MP.SA
Shamli,IN.UP.SM
Sheikhpura,IN.BR.SP
Sheohar,IN.BR.SO
Sheopur,IN.MP.SP
Shimla,IN.HP.SH
Shimoga,IN.KA.SH
Shivpuri,IN.MP.SV
Shravasti,IN.UP.SV
Shupiyan,IN.JK.SH
Sibsagar,IN.AS.SV
Siddharth Nagar,IN.UP.SN
Sidhi,IN.MP.SD
Sikar,IN.RJ.SK
Simdega,IN.JH.SD
Sindhudurg,IN.MH.SI
Singrauli,IN.MP.SU
Sipahijala,IN.TR.SJ
Sirmaur,IN.HP.SI
Sirohi,IN.RJ.SR
