District,HASC
Simdega,IN.JH.SD
Sindhudurg,IN.MH.SI
Singrauli,IN.MP.SU
Sirmaur,IN.HP.SI
Sirohi,IN.RJ.SR
Sirsa,IN.HR.SI
Sitamarhi,IN.BR.ST
Sitapur,IN.UP.SI
Sivaganga,IN.TN.SI
Siwan,IN.BR.SW
Solan,IN.HP.SO
Solapur,IN.MH.SO
Sonbhadra,IN.UP.SO
Sonepat,IN.HR.SO
Sonepur,IN.OR.SO
Sonitpur,IN.AS.SN
South,IN.DL.SO
South Andaman,IN.AN.SA
South Garo Hills,IN.ML.SG
South Goa,IN.GA.SG
South Sikkim,IN.SK.SS
South Tripura,IN.TR.ST
South West,IN.DL.SW
Srikakulam,IN.AD.SR
Srinagar,IN.JK.SN
Sultanpur,IN.UP.SU
Sundargarh,IN.OR.SU
Supaul,IN.BR.SU
Surat,IN.GJ.SR
Surendranagar,IN.GJ.SN
Surguja,IN.CT.SU
Tamenglong,IN.MN.TA
Tapi,IN.GJ.TP
Tarn Taran,IN.PB.TT
Tawang,IN.AR.TA
Tehri Garhwal,IN.UT.TG
Thane,IN.MH.TH
Thanjavur,IN.TN.TJ
The Dangs,IN.GJ.DG
Theni,IN.TN.TH
Thiruvallur,IN.TN.TL
Thiruvananthapuram,IN.KL.TV
Thiruvarur,IN.TN.TR
Thoothukudi,IN.TN.TK
Thoubal,IN.MN.TH
Thrissur,IN.KL.TS
Tikamgarh,IN.MP.TI
Tinsukia,IN.AS.TI
Tirap,IN.AR.TI
Tiruchirappalli,IN.TN.TC
Tirunelveli,IN.TN.TI
Tiruppur,IN.TN.TP
Tiruvannamalai,IN.TN.TV
Tonk,IN.RJ.TO
Longleng,IN.NL.LL
Tuensang,IN.NL.TS
Tumkur,IN.KA.TU
24 Parganas North,IN.WB.PN
24 Parganas South,IN.WB.PS
Udaipur,IN.RJ.UP
Udalguri,IN.AS.UD
Udhampur,IN.JK.UM
Udham Singh Nagar,IN.UT.US
Udupi,IN.KA.UD
Ujjain,IN.MP.UJ
Ukhrul,IN.MN.UK
Umaria,IN.MP.UM
Una,IN.HP.UN
Unnao,IN.UP.UN
Upper Dibang Valley,IN.AR.DU
Upper Siang,IN.AR.US
Upper Subansiri,IN.AR.UB
Uttara Kannada,IN.KA.UK
Uttar Dinajpur,IN.WB.UD
Uttarkashi,IN.UT.UT
Vadodara,IN.GJ.VD
Vaishali,IN.BR.VA
Valsad,IN.GJ.VL
Varanasi,IN.UP.VA
Vellore,IN.TN.VE
Vidisha,IN.MP.VI
Villupuram,IN.TN.VL
Virudhunagar,IN.TN.VR
Vishakhapatnam,IN.AD.VS
Vizianagaram,IN.AD.VZ
Warangal,IN.TG.WA
Wardha,IN.MH.WR
Washim,IN.MH.WS
Wayanad,IN.KL.WA
West,IN.DL.WE
West Garo Hills,IN.ML.WG
West Godavari,IN.AD.WG
West Imphal,IN.MN.WI
West Kameng,IN.AR.WK
West Khasi Hills,IN.ML.WK
West Nimar,IN.MP.WN
West Siang,IN.AR.WS
West Sikkim,IN.SK.WS
West Tripura,IN.TR.WT
Wokha,IN.NL.WO
Yadgir,IN.KA.YD
Yamuna Nagar,IN.HR.YN
Yanam,IN.PY.YA
Yavatmal,IN.MH.YA
Zunheboto,IN.NL.ZU
