State,District,Theft_2017,Theft_2018,Theft_2019,RegisteredUsers_2017,RegisteredUsers_2018,TransactionVolume_2018,RegisteredUsers_2019,TransactionVolume_2019,Population_2011,size_group
Bihar,Vaishali,1243.0,1426.0,1653.0,67921.0,189344.0,1468110.0,312949.0,3383449.0,3495021.0,4.0
Chandigarh,Chandigarh,1460.0,1298.0,908.0,86268.0,209175.0,2383031.0,312887.0,5884404.0,1055450.0,2.0
Chhattisgarh,Balod,135.0,103.0,150.0,13500.0,42804.0,260922.0,68724.0,622903.0,,
Chhattisgarh,Baloda Bazar,193.0,287.0,357.0,21747.0,73454.0,472479.0,115907.0,1125298.0,,
Chhattisgarh,Balrampur,45.0,35.0,71.0,9313.0,27410.0,226839.0,45517.0,587633.0,2148665.0,3.0
Chhattisgarh,Bastar,56.0,53.0,117.0,13889.0,41559.0,303522.0,69623.0,840560.0,1413199.0,2.0
Chhattisgarh,Bemetara,102.0,81.0,102.0,12283.0,36315.0,276124.0,57258.0,547809.0,,
Chhattisgarh,Bijapur,5.0,10.0,7.0,3606.0,12986.0,80822.0,22680.0,314595.0,,
Chhattisgarh,Bilaspur,1026.0,819.0,793.0,68704.0,184636.0,1193132.0,284320.0,3971015.0,2663629.0,4.0
Chhattisgarh,Dantewada,23.0,19.0,32.0,4894.0,17514.0,107878.0,28594.0,347477.0,533638.0,1.0
Chhattisgarh,Dhamtari,82.0,59.0,96.0,15571.0,44369.0,296901.0,69476.0,662367.0,799781.0,2.0
Chhattisgarh,Durg,728.0,646.0,781.0,91516.0,224058.0,1456431.0,353311.0,7207692.0,3343872.0,4.0
Chhattisgarh,Gariyaband,66.0,54.0,49.0,8679.0,25995.0,246486.0,39610.0,447268.0,,
Chhattisgarh,Janjgir Champa,241.0,342.0,291.0,42297.0,130114.0,1835600.0,199431.0,2998455.0,1619707.0,3.0
Chhattisgarh,Jashpur,70.0,83.0,103.0,12420.0,35598.0,258140.0,59351.0,574295.0,851669.0,2.0
Chhattisgarh,Kabirdham,50.0,74.0,56.0,10892.0,36729.0,229177.0,60401.0,561375.0,822526.0,2.0
Chhattisgarh,Kanker,166.0,108.0,149.0,10256.0,36502.0,234262.0,61891.0,668928.0,748941.0,1.0
Chhattisgarh,Kondagaon,30.0,7.0,27.0,5625.0,19795.0,159429.0,33640.0,367041.0,,
Chhattisgarh,Korba,220.0,297.0,268.0,39075.0,105570.0,686975.0,163500.0,1709813.0,1206640.0,2.0
Chhattisgarh,Korea,119.0,74.0,88.0,15517.0,41970.0,296204.0,63940.0,729132.0,658917.0,1.0
Chhattisgarh,Mahasamund,165.0,157.0,132.0,19608.0,56953.0,462000.0,89942.0,947636.0,1032754.0,2.0
Chhattisgarh,Mungeli,98.0,123.0,151.0,7387.0,26640.0,173905.0,44303.0,373032.0,,
Chhattisgarh,Narayanpur,9.0,10.0,10.0,1768.0,6161.0,38735.0,10674.0,138935.0,139820.0,1.0
Chhattisgarh,Raigarh,215.0,398.0,370.0,51628.0,139059.0,958878.0,208338.0,2197577.0,2634200.0,4.0
Chhattisgarh,Raipur,1446.0,1492.0,1548.0,135308.0,351495.0,2345436.0,559412.0,14537416.0,4063872.0,4.0
Chhattisgarh,Rajnandgaon,283.0,360.0,368.0,26295.0,78320.0,550127.0,126699.0,1295528.0,1537133.0,3.0
Chhattisgarh,Sukma,6.0,12.0,8.0,3205.0,11464.0,54819.0,19269.0,247686.0,,
Chhattisgarh,Surajpur,102.0,84.0,85.0,12279.0,39128.0,268212.0,61965.0,668484.0,,
Chhattisgarh,Surguja,246.0,171.0,221.0,22001.0,62300.0,459683.0,98711.0,1136533.0,2359886.0,3.0
Goa,North Goa,276.0,291.0,278.0,57769.0,147802.0,728649.0,244309.0,2566259.0,818008.0,2.0
Goa,South Goa,165.0,180.0,211.0,34167.0,90350.0,516089.0,147591.0,1548682.0,640537.0,1.0
Gujarat,Ahmadabad,3358.0,2993.0,3052.0,572811.0,1450100.0,9836304.0,2185983.0,49886270.0,7214225.0,4.0
Gujarat,Amreli,134.0,245.0,194.0,31443.0,79690.0,430750.0,126423.0,934311.0,1514190.0,3.0
Gujarat,Anand,289.0,193.0,191.0,68052.0,175515.0,1101015.0,277835.0,2996413.0,2092745.0,3.0
Gujarat,Aravallis,93.0,111.0,79.0,21932.0,56005.0,341575.0,94716.0,779004.0,,
Gujarat,Banas Kantha,379.0,381.0,349.0,93506.0,239613.0,1471606.0,386212.0,3444179.0,3120506.0,4.0
Gujarat,Bharuch,372.0,381.0,383.0,101575.0,252826.0,1583279.0,384819.0,4039610.0,1551019.0,3.0
Gujarat,Bhavnagar,261.0,324.0,246.0,87683.0,203617.0,1250704.0,315412.0,2642181.0,,
Gujarat,Botad,60.0,58.0,57.0,23738.0,58126.0,384733.0,88241.0,824991.0,,
Gujarat,Chhotaudepur,105.0,88.0,89.0,6581.0,20287.0,94788.0,36116.0,235294.0,,
Gujarat,Devbhumi Dwarka,70.0,65.0,46.0,15809.0,38898.0,192699.0,61293.0,412400.0,,
Gujarat,Dohad,206.0,191.0,238.0,16212.0,45141.0,256669.0,81529.0,541274.0,2127086.0,3.0
Gujarat,Gandhinagar,331.0,383.0,298.0,118201.0,291858.0,1726041.0,445290.0,6382217.0,1391753.0,2.0
Gujarat,Gir Somnath,86.0,81.0,151.0,28292.0,69872.0,346050.0,110211.0,666165.0,,
Gujarat,Jamnagar,215.0,230.0,184.0,52416.0,121494.0,739961.0,188224.0,1614702.0,2160119.0,3.0
Gujarat,Junagadh,139.0,230.0,273.0,35171.0,82263.0,322675.0,130231.0,740349.0,,
Gujarat,Kachchh,418.0,448.0,440.0,97838.0,231871.0,1464313.0,347270.0,3469060.0,2092371.0,3.0
Gujarat,Kheda,144.0,119.0,125.0,43776.0,124598.0,700100.0,204548.0,1820615.0,2299885.0,3.0
Gujarat,Mahesana,466.0,407.0,298.0,97004.0,230403.0,1508126.0,349897.0,3793184.0,2035064.0,3.0
Gujarat,Mahisagar,44.0,39.0,31.0,11048.0,31147.0,153709.0,54880.0,369553.0,,
Gujarat,Morbi,120.0,112.0,94.0,30329.0,77961.0,388033.0,130472.0,905106.0,,
