State,District,Theft_2017,Murder_2017,RegisteredUsers_2017,Theft_2018,Murder_2018,RegisteredUsers_2018,TransactionVolume_2018,Theft_2019,Murder_2019,RegisteredUsers_2019,TransactionVolume_2019,Theft_2022,Murder_2022,RegisteredUsers_2022,TransactionVolume_2022,Theft_2023,Murder_2023,RegisteredUsers_2023,TransactionVolume_2023
Assam,Dibrugarh,477.0,54.0,21182.0,556.0,74.0,62656.0,359187.0,710.0,67.0,104663.0,835663.0,451.0,56.0,256050.0,9291926.0,352.0,54.0,302007.0,19314106.0
Assam,Dima Hasao,0.0,11.0,2245.0,46.0,10.0,7915.0,44145.0,46.0,8.0,14831.0,141529.0,23.0,5.0,39528.0,1056667.0,19.0,12.0,46923.0,3336874.0
Assam,Goalpara,265.0,22.0,10420.0,379.0,40.0,33006.0,224711.0,348.0,34.0,56285.0,471010.0,260.0,23.0,152321.0,7485614.0,133.0,26.0,182003.0,24996384.0
Assam,Golaghat,394.0,45.0,10102.0,599.0,57.0,34918.0,192818.0,388.0,49.0,62401.0,437723.0,113.0,23.0,161948.0,3982932.0,141.0,37.0,192763.0,11893002.0
Assam,Hailakandi,132.0,19.0,5700.0,142.0,20.0,20697.0,109195.0,227.0,18.0,36398.0,228733.0,148.0,13.0,95220.0,4180616.0,196.0,13.0,112961.0,11032702.0
Assam,Hojai,207.0,28.0,7571.0,232.0,21.0,23708.0,136650.0,181.0,39.0,41444.0,304947.0,189.0,27.0,105945.0,3730140.0,193.0,31.0,125540.0,11628026.0
Assam,Jorhat,666.0,43.0,16442.0,577.0,40.0,48594.0,276580.0,587.0,56.0,78731.0,607779.0,404.0,37.0,187799.0,6717436.0,149.0,34.0,221581.0,12896674.0
Assam,Kamrup,528.0,44.0,15241.0,811.0,65.0,54910.0,397714.0,822.0,40.0,95973.0,854236.0,573.0,50.0,242982.0,9735569.0,900.0,57.0,288710.0,26687210.0
Assam,Karbi Anglong,128.0,28.0,5694.0,214.0,20.0,20131.0,123796.0,170.0,29.0,35507.0,303580.0,119.0,25.0,95739.0,3130857.0,104.0,19.0,113975.0,7822236.0
Assam,Karimganj,259.0,32.0,7367.0,274.0,45.0,29208.0,154401.0,378.0,38.0,54439.0,352020.0,208.0,32.0,148828.0,5096763.0,151.0,35.0,176626.0,16554948.0
