State,District,Theft_2017,Murder_2017,Cruelty_2017,Theft_2018,Murder_2018,Cruelty_2018,Theft_2019,Murder_2019,Cruelty_2019,Theft_2022,Murder_2022,Cruelty_2022,Theft_2023,Murder_2023,Cruelty_2023
Bihar,Jamui,116.0,49.0,75.0,161.0,53.0,37.0,240.0,68.0,26.0,307.0,41.0,17.0,325.0,46.0,42.0
Bihar,Jehanabad,255.0,40.0,31.0,353.0,47.0,19.0,362.0,46.0,19.0,406.0,29.0,20.0,523.0,27.0,35.0
Bihar,Kaimur(Bhabhua),,,,,,,,,,396.0,22.0,14.0,552.0,38.0,26.0
Bihar,Katihar,369.0,86.0,106.0,430.0,90.0,113.0,389.0,83.0,71.0,576.0,65.0,51.0,690.0,63.0,42.0
Bihar,Katihar Railway,368.0,4.0,0.0,301.0,4.0,0.0,233.0,6.0,0.0,266.0,2.0,0.0,270.0,5.0,0.0
Bihar,Khagaria,231.0,56.0,78.0,190.0,37.0,31.0,300.0,54.0,31.0,377.0,63.0,22.0,488.0,57.0,31.0
Bihar,Kishanganj,320.0,39.0,33.0,390.0,32.0,34.0,290.0,34.0,20.0,289.0,44.0,17.0,310.0,28.0,26.0
Bihar,Lakhisarai,84.0,51.0,41.0,144.0,37.0,44.0,212.0,43.0,23.0,186.0,39.0,22.0,253.0,31.0,32.0
Bihar,Madhepura,315.0,64.0,96.0,314.0,76.0,66.0,363.0,98.0,28.0,741.0,73.0,23.0,774.0,86.0,27.0
Bihar,Madhubani,466.0,60.0,199.0,427.0,76.0,80.0,643.0,56.0,75.0,837.0,68.0,33.0,940.0,82.0,37.0
Bihar,Motihari,1024.0,94.0,170.0,1231.0,91.0,107.0,1455.0,110.0,112.0,2099.0,146.0,122.0,2258.0,155.0,98.0
Bihar,Munger,165.0,56.0,78.0,206.0,45.0,94.0,206.0,38.0,91.0,261.0,56.0,21.0,312.0,43.0,35.0
Bihar,Muzaffarpur,2429.0,140.0,121.0,2619.0,139.0,236.0,2569.0,153.0,192.0,2387.0,136.0,106.0,2585.0,134.0,85.0
